date,year,doy,DOR,solar rad kW-hr/m2,wind speed m/s,wind dir. Deg.,wind gust m/s,air temp ave. deg. C ,air temp max deg. C,air temp min deg. C,relative humidity ave. %,relative humidity max %,relative humidity min %,ASCE Et. Total mm,Penman Et. Total mm,Growing Degree Days 40,Growing Degree Days 50,Precip total mm
12/06/15,2015,340,340,2.626,1.29,307,6.67,11.8,23,5.6,47,76,17,2.65,2.96,452,198,0
12/07/15,2015,341,341,2.991,2.01,341,10.78,16,27.4,5,46,84,13,3.91,4.55,537,283,0
12/08/15,2015,342,342,2.74,1.6,309,9.08,15.7,26.8,8.7,54,88,24,3.1,3.51,608,354,0
12/09/15,2015,343,343,2.888,1.2,292,7.77,12.9,24.5,6.2,68,92,25,2.58,2.83,499,245,0
12/10/15,2015,344,344,1.704,1.71,312,9.73,11.6,18,6.9,89,99,60,1.56,1.95,367,113,3.56
12/11/15,2015,345,345,2.486,3.15,296,11.3,9.7,12.2,7.1,76,96,61,1.7,1.42,238,0,2.54
12/12/15,2015,346,346,3.203,3.46,322,11.23,11,15.9,5.8,49,67,34,3.17,2.86,292,38,0
12/13/15,2015,347,347,1.881,2.37,309,16.3,7.7,14.4,1.6,76,96,49,1.8,2.13,163,0,3.56
12/14/15,2015,348,348,3.237,4.26,318,12.32,8.2,12.2,5.2,52,73,35,2.92,2.26,194,0,0
12/15/15,2015,349,349,3.293,2.85,338,10.85,7.2,13.2,-0.8,41,63,27,2.8,2.85,81,0,0
12/16/15,2015,350,350,3.197,1.89,305,9.28,6.2,15,-1.5,51,79,23,2.51,2.77,106,0,0
12/17/15,2015,351,351,3.136,1.27,302,5.95,7.2,17.5,-0.1,61,85,25,2.29,2.4,195,0,0
12/18/15,2015,352,352,3.189,1.23,296,5.91,8.8,18.4,2,62,92,30,2.27,2.29,263,9,0
12/19/15,2015,353,353,1.184,1.7,304,7.55,6.8,13.3,1,89,98,52,1.29,1.72,125,0,5.84
12/20/15,2015,354,354,1.512,2.3,301,7.97,6.2,13.5,1,78,91,45,1.78,2.12,129,0,0
12/21/15,2015,355,355,1.709,1.77,302,6.11,10.2,14.7,1.2,87,97,58,1.49,2.01,160,0,3.3
12/22/15,2015,356,356,1.036,3.77,303,13.23,12.9,14.3,11.1,94,98,80,1.01,0.99,378,124,12.19
12/23/15,2015,357,357,3.124,4.59,320,13.62,10.9,15.2,8.2,60,79,42,3.12,2.32,331,77,0
12/24/15,2015,358,358,2.721,3.24,311,10.75,9.4,14.2,5.7,58,91,33,2.63,1.98,250,0,0.76
12/25/15,2015,359,359,3.141,3.7,321,19.83,7.8,12,4.3,52,77,35,2.74,2.16,170,0,0
12/26/15,2015,360,360,3.295,2.04,322,16.82,7.1,14.3,0.9,46,69,18,2.78,2.82,144,0,0
12/27/15,2015,361,361,3.163,1.52,280,6.67,5.6,14.3,-0.2,50,85,16,2.4,2.22,120,0,0
12/28/15,2015,362,362,2.698,2.76,313,10.65,5.6,12.2,-0.7,68,89,45,2.07,2.19,59,0,0.25
12/29/15,2015,363,363,3.215,1.47,310,10.32,5.1,14.2,-2.5,61,88,33,2.14,2.25,64,0,0
12/30/15,2015,364,364,3.267,1.31,298,6.86,5.7,15.2,-1.1,59,79,23,2.33,2.29,120,0,0
12/31/15,2015,365,365,3.25,1.21,279,7.28,6.3,14.9,-0.1,61,84,30,2.17,2.08,135,0,0
01/01/16,2016,1,366,3.121,1.1,290,6.27,7,16.2,-0.5,51,82,19,2.29,2.17,156,0,0
01/02/16,2016,2,367,1.544,2,94,8.95,9.6,14.8,3.6,40,70,21,2.39,2.62,218,0,0
01/03/16,2016,3,368,1.778,4.41,107,17.47,11.5,14.2,8.4,61,75,49,2.65,2.15,314,60,0
01/04/16,2016,4,369,1.831,1.28,300,7.32,12.1,18,8.6,66,84,42,1.94,1.92,403,149,0
01/05/16,2016,5,370,0.894,3.25,278,12.58,10.4,12.7,7.2,87,97,69,1.11,1.2,253,0,24.89
01/06/16,2016,6,371,0.953,1.56,38,10.16,7.9,12.2,4.8,91,98,79,0.77,1.21,185,0,32
01/07/16,2016,7,372,2.291,2.61,306,8.95,7.7,11.3,3.8,86,98,63,1.57,1.53,143,0,11.94
01/08/16,2016,8,373,3.036,2.08,290,9.73,7.8,14.4,2.7,75,94,51,2.1,2.26,188,0,0
01/09/16,2016,9,374,1.137,2.46,113,10.26,9.1,12.4,4,78,93,62,1.27,1.62,172,0,0.25
01/10/16,2016,10,375,1.126,1.21,301,5.49,9.6,12.3,6.1,91,98,80,0.82,1.03,219,0,1.78
01/11/16,2016,11,376,2.657,1.58,307,7.35,10.4,16.9,5.1,79,99,44,2.13,2.05,298,44,0
01/12/16,2016,12,377,3.502,1.32,307,6.6,9.7,20.4,1.7,59,89,20,2.9,2.82,302,48,0
01/13/16,2016,13,378,2.787,2.32,309,9.96,10.5,18.8,4,73,96,43,2.58,2.83,318,64,0
01/14/16,2016,14,379,2.771,1.97,348,13.29,9.1,15.6,4.8,86,99,50,2.1,2.13,262,8,0
01/15/16,2016,15,380,3.052,1.93,292,9.44,11.9,19.2,5.2,82,97,50,2.43,2.76,354,100,0
01/16/16,2016,16,381,2.806,2.13,305,10.55,12.5,20.3,7.8,86,99,60,2.3,2.7,440,186,0
01/17/16,2016,17,382,1.986,1.27,307,6.96,11,16.6,6.4,89,100,68,1.53,1.66,324,70,0.25
01/18/16,2016,18,383,1.943,1.08,323,5.91,12.8,18.3,8.8,90,98,63,1.63,1.63,416,162,2.54
01/19/16,2016,19,384,0.449,0.79,40,4.87,12.1,13.8,8.9,95,100,86,0.38,0.72,316,61,24.13
01/20/16,2016,20,385,2.198,1.06,316,4.61,10.7,15.6,7.2,94,100,76,1.48,1.47,319,65,0.51
01/21/16,2016,21,386,3.15,1.68,328,9.7,12.5,21.5,5.9,68,100,27,2.99,2.91,424,170,0
01/22/16,2016,22,387,2.862,1.65,301,6.37,13.1,21.6,6.8,67,89,31,2.91,3,446,192,0
01/23/16,2016,23,388,2.801,3.26,296,11.86,11.6,15.6,9,79,98,52,2.38,1.87,360,106,1.27
01/24/16,2016,24,389,3.552,2.79,332,10.19,11.3,17.1,5.4,59,86,32,3.19,2.89,310,56,0
01/25/16,2016,25,390,3.756,2.21,8,12.08,11.2,19.9,3.9,58,85,26,3.46,3.53,339,85,0
01/26/16,2016,26,391,3.812,1.58,306,7.68,10.9,19.4,2.9,58,79,31,3.02,3.21,306,53,0
01/27/16,2016,27,392,2.734,1.12,315,5.95,12.1,21.5,5.5,55,85,17,2.74,2.67,415,161,0
01/28/16,2016,28,393,3.621,1.87,311,12.7,11.6,20.7,3.6,61,88,23,3.36,3.52,350,96,0
01/29/16,2016,29,394,3.507,2.24,329,12.64,12.9,23.3,5.6,70,97,40,3.34,3.8,457,203,0
01/30/16,2016,30,395,3.312,2.12,310,8.62,11.8,17.4,5.1,88,98,68,2.14,2.69,310,56,0
01/31/16,2016,31,396,1.676,3.98,307,13,8.7,11.5,6,81,98,64,1.53,1.36,197,0,22.1
02/01/16,2016,32,397,4.135,4.41,323,12.84,8,12.5,2.1,45,67,26,3.61,2.98,129,0,0
02/02/16,2016,33,398,3.218,2.32,287,10.39,5.6,12.4,-2.2,66,96,32,2.4,2.53,30,0,0
02/03/16,2016,34,399,4.031,1.52,300,6.96,7.3,16.1,-0.1,70,98,34,2.65,2.72,163,0,0.25
02/04/16,2016,35,400,4.121,1.28,297,6.43,9,19.2,1.1,70,95,34,2.85,2.96,262,8,0
02/05/16,2016,36,401,4.229,1.28,297,8.03,11.8,21.4,4.3,47,75,19,3.39,3.4,384,130,0
02/06/16,2016,37,402,4.288,1.47,349,7.68,14.3,25.2,5.7,37,62,12,4.12,4.32,504,250,0
02/07/16,2016,38,403,4.321,1.15,297,5.72,16.1,26.7,7.7,40,54,14,3.94,4.12,582,328,0
02/08/16,2016,39,404,4.387,1.09,300,5.95,18.1,28.5,10.6,34,50,15,4.08,4.26,691,437,0
02/09/16,2016,40,405,4.4,1.06,290,5.95,18.4,29.1,9.7,33,60,14,4.07,4.24,683,429,0
02/10/16,2016,41,406,4.515,0.99,283,5,17.1,27.4,9.2,45,64,21,3.81,3.94,635,381,0
02/11/16,2016,42,407,4.6,1.04,278,6.14,17.5,28.1,9.7,40,67,16,4.01,4.11,662,408,0
02/12/16,2016,43,408,4.269,1,272,5.72,16.3,27,8.5,53,82,20,3.65,3.73,608,354,0
02/13/16,2016,44,409,4.506,1.95,354,13.13,17.9,28.2,7.7,41,80,11,4.96,5.32,619,365,0
02/14/16,2016,45,410,4.482,2.64,7,16.27,18.8,26.1,10.2,34,54,14,5.44,5.39,626,372,0
02/15/16,2016,46,411,4.708,1.5,302,7.55,19,30.3,9.3,44,63,18,4.77,5.31,702,448,0
02/16/16,2016,47,412,4.795,1.22,262,6.86,19.3,29.7,11.7,37,52,16,4.52,4.83,744,490,0
02/17/16,2016,48,413,0.967,4.78,136,13.52,16.1,21.2,11.6,50,89,25,3.71,2.47,547,293,0.25
02/18/16,2016,49,414,4.754,2.57,303,11.69,11.3,16.5,5.9,80,97,52,2.98,3.11,308,54,12.19
02/19/16,2016,50,415,4.59,2.4,304,11.1,9.4,16.5,3.6,83,98,51,2.87,3.21,256,2,0
02/20/16,2016,51,416,4.877,1.38,297,7.09,10.1,19.6,2.1,81,98,45,3.07,3.44,293,39,0
02/21/16,2016,52,417,4.994,1.81,284,10.06,11.7,23.3,3.2,78,100,40,3.69,4.43,402,148,0.25
02/22/16,2016,53,418,5.078,2.48,356,11.63,15.5,26.6,3.6,40,90,8,5.49,5.54,489,235,0
02/23/16,2016,54,419,4.486,1.06,281,6.33,15.2,26.4,6.5,39,69,16,3.85,4.17,549,295,0
02/24/16,2016,55,420,5.09,1.25,298,7.25,14.6,25.3,5.9,48,73,19,4.11,4.42,510,256,0
02/25/16,2016,56,421,5.098,1.18,276,6.67,15.3,26,7.2,52,78,21,4.08,4.36,555,301,0
02/26/16,2016,57,422,4.747,1.57,273,10.65,14.2,24.9,7.3,66,95,29,3.92,4.28,533,279,0
02/27/16,2016,58,423,5.116,2.18,294,11.6,14.3,26.3,6.8,79,100,34,4.42,5.13,554,300,0
02/28/16,2016,59,424,4.818,2.04,5,11.6,17.2,28.3,5.4,56,100,16,4.99,5.62,569,315,0.25
02/29/16,2016,60,425,5.359,2.17,24,11.01,18.4,29.2,8.1,39,64,11,5.78,6.43,650,396,0
03/01/16,2016,61,426,5.295,2.17,294,11.53,16.2,25.4,7.4,45,84,23,4.79,5.3,546,292,0
03/02/16,2016,62,427,5.169,1.52,300,8,13.5,23.5,5.7,70,99,37,3.77,4.24,464,210,0
03/03/16,2016,63,428,3.911,1.67,299,6.6,11.1,18.6,3.4,83,100,49,2.71,3.29,300,46,0
